smiles,name,inchikey,standard_deviation_of_teac_molte/mol,homo,lumo,molecular_weight,bde,ip,pde,pa,ete,teac_molte_mol_limpio
C1=CC=C(C(=C1)C=O)O,salicylaldehyde,SMQUZDBALVYZAC-UHFFFAOYSA-N,,-9.662,-0.702,122.1232,77.06435,207.7392,125.3615,263.0884,70.01229,0.04
CCC1=CC=C(C=C1)O,4-Ethylphenol,HXDOZKJGKXYMEW-UHFFFAOYSA-N,,-8.946,0.11,122.1664,74.74529,192.2928,138.4888,279.7328,51.04883304,0.04
CC1=CC(=CC=C1)O,m-cresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,,-9.102,0.159,108.1396,81.71135,195.535,142.2127,279.4953,58.25234,0.036
CC1=CC(=CC(=C1)O)C,"3,5-dimethylphenol",TUAMRELNJMMDMT-UHFFFAOYSA-N,,-9.031,0.292,122.1664,81.9514,192.8826,145.105069999999,280.2956,57.69207,0.04
C1=CC(=C(C=C1N)O)C(=O)O,4-aminosalicylic acid,WUBBRNOQWQTFEX-UHFFFAOYSA-N,0.041303199,-9.0,-0.283,153.1372,87.15616,189.7666,153.4258,266.9747,76.21774,0.084365026
C1=CC(=C(C=C1O)C(=O)O)O,"2,5-dihydroxybenzoic acid",WXTMDXOMEHJXQO-UHFFFAOYSA-N,0.156618547,-9.075,-1.082,154.122,79.31849,193.01774304,142.337059999999,261.49539,73.8594130399999,1.290333068
C1=CC(=CC(=C1)O)/C=C/C(=O)O,m-hydroxycinnamic acid,KKSDGJDHHZEWEP-SNAWJCMRSA-N,,-9.545,-0.956,164.1604,83.20066,203.71546304,135.521509999999,268.8659,70.37104,0.054
C1=CC(=C(C(=C1)O)C(=O)O)O,"2,6-dihydroxybenzoic acid",AKEUNCKRJATALU-UHFFFAOYSA-N,,-9.379,-0.907,154.122,86.96385,197.7746,145.2256,255.9045,87.09566,0.051
C1=CC(=CC(=C1)O)C(=O)O,3-hydroxybenzoic acid,IJFXRHURBJZNAO-UHFFFAOYSA-N,,-9.597,-0.885,138.1226,82.98217,206.03111304,132.9874,269.4895,69.52902304,0.045
C1=CC(=C(C=C1C(=O)O)O)C(=O)O,2-hydroxyterephthalic acid,CDOWNLMZVKJRSC-UHFFFAOYSA-N,,-9.952,-1.446,182.1324,84.2640099999999,211.8917,128.408599999999,256.5857,83.71466,0.06
C1=CC(=CC=C1C(=O)O)O,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,,-9.769,-0.681,138.1226,85.39507,209.4722,131.9592,261.4221,80.00924304,0.045
CC1=C(C(=CC=C1)C(=O)O)O,3-methylsalicylic acid,WHSXTWFYRGOBGO-UHFFFAOYSA-N,,-9.353,-0.739,152.1494,80.52539,198.3764,138.1853,260.7499,75.81181,0.05
C1=CC=C(C(=C1)C(=O)O)O,salicylic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,,-9.64,-0.644,138.1226,83.6278,206.6763,132.987829999999,264.4639,75.20022304,0.045
C1=CC(=CC=C1/C=C/C(=O)O)O,trans-p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,,-9.356,-0.94,164.1604,81.9243,198.2493,139.7113,258.991,78.96960304,0.054
C1=CC(=CC(=C1)O)O,resorcinol,GHMLBKRAJCXXBS-UHFFFAOYSA-N,0.060086602,-9.128,-0.032,110.1122,83.32916,195.10552304,144.26,273.702,65.66350304,0.089374254
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.093250489,-8.913,-0.553,228.247,80.01314,184.2534,151.796049999999,264.4432,71.60627,0.728415577
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,tannic acid,LRBQNJMCXXYXIU-PPKXGCFTSA-N,1.2990703589532144,-9.551,-0.505,164.2036,80.69324,204.0687,132.6609,264.6937,72.03587304,15.41506155158736
CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,tocopherol,GVJHHUAWPYXKBD-UHFFFAOYSA-N,0.115082765,-8.014,0.413,430.7128,72.97089,162.43277304,166.574429999999,281.6606,47.34656304,0.898289025
C1=CC(=CC=C1CCO)O,2-(4-Hydroxyphenyl)ethanol,YCCILVSKPBXVIP-UHFFFAOYSA-N,,-9.154,-0.115,138.1658,76.2991199999999,191.92104304,140.4144,275.0879,57.24754,0.045
