fragmentos_fenol,fragmentos_ar_oh,NroAnilloAromatico,NroAnilloNoAromatico,TPSA,donadores_puente_hidrogeno,aceptores_puente_hidrogeno,MolLogP,enlaces_rotables,fraccion_carbono_sp3,conteo_atomos_pesados,refractividad_molar,alfa_hall_kier,carga_parcial_maxima,carga_parcial_minima,carga_parcial_abs_maxima,carga_parcial_abs_minima,kappa_1,kappa_3,chi_0v,chi_2v,chi_4v,coeficiente_qed,num_catecoles,num_resorcinoles,num_hidroquinonas,oh_vecino_a_metoxi
1,1,1,0,75.99,2,4,1.4265999999999999,5,0.36363636363636365,16,57.16760000000003,-1.91,0.3031778013870932,-0.5016994832284486,0.5016994832284486,0.3031778013870932,12.160972320794889,2.7889551308538847,9.188086163143852,3.2426852633847982,1.3433890249491907,0.7937665209457547,0,0,0,0
1,1,1,0,64.99000000000001,1,5,1.9857,5,0.3076923076923077,18,66.87780000000004,-2.1700000000000004,0.3302508646531262,-0.5016992098707758,0.5016992098707758,0.3302508646531262,13.893171193935567,3.412138731624583,10.596714615300462,3.359413391985318,1.3646233560754455,0.6409167413923884,0,0,0,0
1,1,1,0,64.99000000000001,1,5,1.9050999999999998,6,0.46153846153846156,18,66.16480000000004,-1.9100000000000001,0.30560565691313946,-0.5016994832284485,0.5016994832284485,0.30560565691313946,14.152150403977625,3.5468443314933813,10.856227639294305,3.6539678899818107,1.5716747831832274,0.7854031563949884,0,0,0,0
1,1,1,0,58.92,2,4,1.4148999999999998,4,0.2727272727272727,15,57.33060000000004,-1.6800000000000002,0.20027553710377138,-0.5016992098788685,0.5016992098788685,0.20027553710377138,11.395075075075077,2.6337935021389756,8.727431629872694,2.858974875928154,1.1987728997592768,0.7885479531992599,0,0,0,0
1,1,1,0,58.92,2,4,1.3342999999999998,5,0.45454545454545453,15,56.61760000000004,-1.4200000000000004,0.20025097469357317,-0.5016994832367868,0.5016994832367868,0.20025097469357317,11.653637702503682,2.761875524167197,8.986944653866537,3.176106908504698,1.3752998086424477,0.7727671173423842,0,0,0,0
0,0,0,2,44.760000000000005,0,4,1.1788999999999998,2,0.5454545454545454,15,53.10800000000003,-1.29,0.2610224739385385,-0.49271911001321933,0.49271911001321933,0.2610224739385385,10.235362076049029,1.6516544378674096,8.909014043794347,3.6615189984589316,1.951731419522088,0.6861374817312196,0,0,0,0
1,1,1,0,40.46,2,2,1.3977,2,0.1111111111111111,11,44.22660000000002,-1.2800000000000002,0.11511769405975053,-0.5079662507912434,0.5079662507912434,0.11511769405975053,7.822880658436214,2.43377714489142,6.065635587324218,2.1764753359777327,0.7742203472244559,0.668544916893526,0,0,0,0
2,2,1,0,77.76,3,3,1.1955999999999996,2,0.0,13,46.44140000000001,-1.9699999999999998,0.32782120287961375,-0.504259631901577,0.504259631901577,0.32782120287961375,9.120661831368995,2.516894309601189,6.636640422911867,2.419722724044893,0.8116444294648705,0.47162133314166776,1,0,0,0
2,2,1,0,66.76,2,4,1.6741,3,0.18181818181818182,15,55.43860000000003,-1.9699999999999998,0.33025084657311077,-0.504259631901577,0.504259631901577,0.33025084657311077,11.106745970836533,3.3418728097268224,8.30478189906232,2.8335333516770955,0.9987687415765436,0.4502165744059466,1,0,0,0
2,2,1,0,66.76,2,4,1.5935000000000001,4,0.36363636363636365,15,54.725600000000036,-1.71,0.3056056376283727,-0.5042598931267965,0.5042598931267965,0.3056056376283727,11.365244544770505,3.4971815387145693,8.564294923056163,3.128087849673589,1.2040741535153734,0.5847033458573334,1,0,0,0
1,1,1,5,55.760000000000005,1,4,10.147399999999994,8,0.725,44,178.28579999999945,-2.23,0.33055788049444473,-0.5042543435661512,0.5042543435661512,0.33055788049444473,31.74030958069617,4.61840140730723,28.80098602102946,17.03797838345563,12.475626100007663,0.18271704979841105,0,0,0,0
1,1,1,0,46.53,1,3,1.9685,3,0.18181818181818182,14,53.77380000000002,-1.77,0.33025082851220894,-0.5079662507795569,0.5079662507795569,0.33025082851220894,10.31176614881439,3.3085827117806303,7.934918572751986,2.676913852034897,0.9400708035406244,0.5879152696231044,0,0,0,0
